id,title,spoonacular_recipe_id,recipe_title
fc89b8be-980a-44d6-95d1-11e550fb1412,"$50,000 Burger",631814,"$50,000 Burger"
0600d4d3-8eef-4550-b42d-493431ffbf9c,10-Minute Bean Stew,631834,10-Minute Bean Stew
1ad68fd3-1b8f-4c6a-91e3-98ee7abeffa2,Agedashi Tofu,632017,Agedashi Tofu
30e0a5ba-9fca-40ad-9b8f-59cde6fa8399,Alaskan Smoked Salmon Nicoise Salad With Alouette Crumbled Feta,632046,Alaskan Smoked Salmon Nicoise Salad With Alouette Crumbled Feta
ce061558-de22-4574-8dbd-4c88bed02f90,Albondigas (Meatball Soup),632050,Albondigas (Meatball Soup)
61f10ea0-2824-4bc2-b07b-3db2100897d5,Amatriciana,632297,Amatriciana
438ba7a1-3a4f-49cc-8056-8785606d3f02,An American Beef Burger,632342,An American Beef Burger
73505f2c-1e23-4486-9051-06eb89ce7a62,Andouille Sausage and Potato Hash,632353,Andouille Sausage and Potato Hash
e029ed5d-f947-4bca-a868-59edd0c5f606,Arroz De Galinha (Reinvented),632741,Arroz De Galinha (Reinvented)
07abc3b5-6d4e-4b0b-be24-10b25e82e3bb,Asian Chickpea Lettuce Wraps,632819,Asian Chickpea Lettuce Wraps
8ba0bfec-4e19-4029-b093-0617fe5a5d1a,Asian Pork Salad,632869,Asian Pork Salad
cc38a4c8-d8c0-49e3-9d0d-12de8ae29ea7,Asparagus & Ham Spirals,632908,Asparagus & Ham Spirals
80a74e2f-62f1-421a-a718-d60eff597790,Aubergine With Ground Beef,633028,Aubergine With Ground Beef
7712e433-1610-4372-a5eb-016898f1314a,Avocado & Tomato Salad Topped with Grilled Shrimp,633119,Avocado & Tomato Salad Topped with Grilled Shrimp
23afee07-9958-4b0d-900c-f5d9dd3c5941,Avocado and Cannellini Bean Salad,633120,Avocado and Cannellini Bean Salad
5a5dddbb-637c-496b-92c8-e78c4638b74a,Avocado Egg Salad,1512847,Avocado Egg Salad
02ad66eb-6b09-4e32-8735-5c3b214727ed,Avocado Nests,633144,Avocado Nests
36357d76-ed6a-4bca-96b7-d5114b73bf68,Avocado Shrimp,633157,Avocado Shrimp
20946666-bd2a-4cf9-b6c1-7ee04cfebc0d,Avocado Sweet Lassi - How to make Avocado Lassi - Indian Avocado,1681409,Avocado Sweet Lassi - How to make Avocado Lassi - Indian Avocado
21e6088d-dcf8-47e1-8a16-15900faa4e32,"Avocado Toast With Caramelized Sweet Onion, Grape Tomatoes, Fresh Garden Chives and Chive Blossoms",633160,"Avocado Toast With Caramelized Sweet Onion, Grape Tomatoes, Fresh Garden Chives and Chive Blossoms"
83075302-b9aa-4705-ab4b-f4ba59e88921,Avocado Tomato & Mozzarella Panini,633165,Avocado Tomato & Mozzarella Panini
53f4c4b1-2df1-411a-be4c-a77e852dab1f,Avocado Tomato & Mozzarella Panini/sandwiches,633167,Avocado Tomato & Mozzarella Panini/sandwiches
05f905ac-7f84-4f27-a560-f1ad36cb3365,Baked Cherry Tomatoes With Spaghetti,633505,Baked Cherry Tomatoes With Spaghetti
ac162e87-1f22-4da3-9239-2feb80e04708,Baked Ravioli & Meat Sauce,633752,Baked Ravioli & Meat Sauce
a8a557ce-8f95-4134-a1a6-b70ec672ccbe,Baked Rice Custard,633758,Baked Rice Custard
87e97d55-b860-46ab-a12f-d3e48a892b28,Baked Whole Wheat Breakfast Quesadilla,679540,Baked Whole Wheat Breakfast Quesadilla
4bd749b5-cbcc-43dd-8f41-1d1160d1fd08,Balti Chicken,633959,Balti Chicken
9b79acdf-a991-4886-9c35-934bcd5f8891,Banana Chocolate Pudding,634048,Banana Chocolate Pudding
a2a83225-c637-422a-929e-ff18b8afe5d2,Barbecued Pulled Beef Sandwiches,634320,Barbecued Pulled Beef Sandwiches
0a8b0282-c9f6-46ff-87bc-f2db5b97a054,Basque Paella,634454,Basque Paella
040fb664-9004-46c2-8e01-6239fd11a131,BBQ Gochujang Cauliflower Fried Rice,984198,BBQ Gochujang Cauliflower Fried Rice
a9172275-8bfe-475f-b33f-d16fc404bc87,Bbq Pork Steak,634509,Bbq Pork Steak
fcfb8f5d-238a-4679-b95b-edd367610ed2,Bean and Cheese Huevos Rancheros,634514,Bean and Cheese Huevos Rancheros
4473548a-04d2-421d-ab3b-d9b9105b1187,Beef and Vegetable Penne Casserole,634582,Beef and Vegetable Penne Casserole
7c8c131d-be8c-4a09-8868-f6d6ea141028,Beef Lo Mein Noodles,634629,Beef Lo Mein Noodles
6e384f7f-e852-46e7-999a-88ce874a1994,Beef rolls with vegetables,634658,Beef rolls with vegetables
57ec8217-a78b-4774-97bf-de23fa54cbb5,Beefy Coconutty Curry,470064,Beefy Coconutty Curry
5e1ed692-603c-46da-9025-8682e8b19153,Beginner's Quinoa Cakes,264382,Beginner's Quinoa Cakes
5319047b-f791-4ae3-9356-f94eb58b2b2e,Berry Frozen Yogurt Popsicles,1098299,Berry Frozen Yogurt Popsicles
d5963462-d9d3-43a4-a9ca-ce5e061352c2,Berry Good Brie,634862,Berry Good Brie
cca53887-09dd-4615-8b4f-7bebcb307444,Berry Jam,634859,Berry Jam
