spoonacular_recipe_id,title,instructions,servings,ready_in_minutes,image_url,created_at,updated_at
13073,Seared Ahi Tuna Salad,,4,52,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/13073.jpg,2026-03-14 22:24:03.121729+00,2026-03-14 22:24:03.222+00
13265,Collard Greens With Bacon,,6,264,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/13265.jpg,2026-03-14 23:16:30.498787+00,2026-03-14 23:16:30.635+00
53626,"Elegant, Intimate Thanksgiving","I did a terrible job of getting this posted during Thanksgiving. We had a small holiday dinner with friends before we all had to spend our actual holiday with extended family and the big, potluck fun for that day. For the four adults and three kids here, we could cook a special menu, a bit less traditional and upscale. If you have a small gathering, this is a great alternative Thanksgiving menu to try.

For the salad course, I recommend the Fall Kale Salad, and for dessert, the ultra-easy (make ahead) and stunning Pumpkin Panna Cotta with Bourbon Pecan Toffee.

Crispy Braised Duck with Cranberry-Port Sauce

Crispy Braised Duck

2 Ducks

1 onion, peeled and quartered

1 clementine, halved, peel on

2 ribs celery, roughly chopped

salt and pepper

¼ cup mulling spices

1 gallon apple juice

Cranberry-Port Sauce

1-1/2 cups of the cooled, skimmed cooking liquid

2 cups port wine

1 cup balsamic vinegar

1/3 cup cranberry jelly

Prepare the Ducks:

Preheat the oven to 350 degrees.

Starting from the large cavity end, gently work your fingers between the skin and meat to loosen skin from the ducks, especially the breast as much as possible. Try not to tear the skin. Prick the skin all over with a fork to allow the fat to drain when cooking.

Stuff the duck cavities with the orange, celery and onion. Salt and pepper them lightly.

On the stove, bring the apple juice and mulling spices to a boil. Pour the boiling liquid over the ducks to tighten the skin. The liquid need to come up at least halfway to two-thirds up the sides of the ducks. You can add chicken stock if you need more liquid. Cover the pan tightly with foil.

Braise ducks:

Put oven rack in middle position and preheat oven to 350°F.  Braise for one hour, remove from oven and turn ducks over, cover again and braise for another hour.

Chill ducks:

Remove from oven. Transfer ducks to a large platter, draining any juices inside ducks back into pan. Pour the cooking liquid from the pan through a strainer into a large bowl. Place the ducks back in the roasting pan and chill both the large bowl of cooking liquid and the ducks, uncovered, at least 4 hours. You want to firm up the duck before the roasting step, and also solidify the fat on the cooking liquid.

Make Sauce:

Remove the bowl of cooking liquid from the refrigerator and skim off the fat. Measure 1 and a half cups of the liquid and add to a large sauce pan on the stove. Add two cups port, 1 cup balsamic vinegar, and 1/3 cup cranberry jelly, and 1 Tbs. Dijon mustard. Whisk and bring to a simmer, uncovered. Reduce over low heat until you get a syrup that coats the spoon, about a half an hour.

Roast ducks:

Put oven rack in middle position and preheat oven to 500°F.

Remove the roasting pan with ducks from the refrigerator and place in oven. Roast ducks until skin is crisp, about 20-25 minutes.

When done, transfer ducks to a platter and let stand at least 10 minutes before serving. Glaze lightly with some of the sauce, serve with remaining sauce.

Pumpkin Risotto

2 tablespoons extra-virgin olive oil

1 cup diced pumpkin, ¼-inch dice

4 cups chicken broth

2 shallots, minced

1-1/4 cups Arborio rice

1/2 cup white wine

2/3 cup grated Gruyere cheese

2 tablespoons chopped fresh sage

Salt and freshly ground black pepper

On stove, or in a steamer, steam the pumpkin until fork tender, about 15 minutes. Set aside, keeping warm.

Heat the chicken broth in a small saucepan, and keep it warm over low heat.

In a large pot, heat 2 tablespoons olive oil over medium-low heat and sweat the shallot until translucent, about 5 minutes. Increase the heat to medium-high. Add the rice, and stir until it is evenly coated with oil, and the grains just begin to turn golden, about 3 minutes.

Add the wine and cook, stirring often, until the rice absorbs the liquid, about 5 minutes. Stir 2 cups of the warm chicken broth into the pot. Now you’re free from stirring for about 8 minutes, until the rice absorbs the liquid. After this step, you need to start stirring frequently.

Add another cup of the warm chicken broth to the pot and cook, stirring frequently, until all the liquid is absorbed, about five minutes. Add just 1/4 cup of broth next, and cook, stirring constantly, until all the liquid is absorbed, a few more minutes. Taste the rice; if it has reached al dente texture, you’re done. If not, add another 1/4 cup of broth and cook, stirring constantly, until all the liquid is absorbed. Repeat until the rice is done; you may not need all of the broth.

Mix in the Gruyere, gently fold in the cooked pumpkin, and sage. Season with salt and pepper to taste. Serve alongside the Crispy Duck, drizzle with the Cranberry-Port sauce.

Serves 4-6.",26,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/53626.png,2026-03-14 23:05:55.3395+00,2026-03-14 23:05:55.483+00
157375,Steamy Creamy Mushroom Risotto,"<ol><li>Fry the chicken and the mushrooms and set aside.</li><li>Fry the rice in a pan in the oil for a minute. Start boiling water and prepare the chicken broth in a separate saucepan.</li><li>Start adding chicken broth water and the wine little by little to the rice and simmer at medium heat until the rice is cooked.</li><li>Once the rice is done, add the butter, the chicken, and the mushrooms and blend them in. Add the parmesan, salt, and pepper and stir one last time before you serve.</li></ol>",2,35,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/157375.jpg,2026-03-14 22:22:43.272917+00,2026-03-14 22:22:43.374+00
157426,Stuffed Shells with Beef and Broc,"<p>1. Steam your frozen broccoli and cut it into smaller pieces if necessary.</p><p>2. Fry the onion in a hot skillet until translucent. While the onion is frying, go ahead and start boiling your pasta shells. I cooked mine half the recommended time, but they have to at least be soft enough to stuff!</p><p>3. Add the beef to the skillet with the onions. Drain your pasta when it's ready.</p><p>4. Once the beef is browned and crispy (to your liking), add the tomato sauce, salt, pepper, and herbs to the skillet. Turn the heat to low.</p><p>5. Mix the cream cheese with any fresh or dried herbs you like.</p><p>6. Pour your steamed, chopped broccoli into a casserole dish.</p><p>7. Stuff the shells with the cream cheese/herb mixture. Place the stuffed shells on top of the broccoli in the casserole dish. If you run out of cream cheese while stuffing, fill any remaining shells with some of the beef/tomato mixture.</p><p>8. Once all the shells are stuffed and in the casserole dish, pour the meat and tomato mixture over the shells evenly. Cover with the shredded cheddar cheese.</p><p>9. Bake at 176 C/350 F for 15 minutes or until the cheese has melted and the shells are soft (but not too soft ;))</p>",2,60,https://img.spoonacular.com/recipes/157426-556x370.jpg,2026-03-14 22:22:53.467309+00,2026-03-14 22:22:53.564+00
157960,Portobello Baked Eggs,"<p> Turn the oven to broil. Clean mushroom caps and, if desired, lightly scrape the gills out of the underneath of each cap. Brush mushrooms on both sides with olive oil , and season with salt and pepper. Place gill side down on a sheet pan and cook for about 3-5 minutes. Remove from the oven.</p><p> <br> Turn the oven down to 350°F. <br> <br> Turn the mushrooms gill side up and start building.  First, place the spinach into the cap building up the sides and creating a well in the middle, if necessary, to accommodate the egg. Add some goat cheese and Carefully break one egg into the well of each of the mushroom caps.</p><p> Now place them back into your 350°F oven and bake for 15 to 17 minutes depending on how well done or sunny-side-up you like your eggs. Serve immediately.</p>",4,20,https://img.spoonacular.com/recipes/157960-556x370.jpg,2026-03-14 22:23:37.08327+00,2026-03-14 22:23:37.144+00
157961,Kale Rolls,"<p> Bring a pan of lightly salted water to a boil. Dip each kale leave into the water for a few seconds until it become tender enough to roll. It will turn a nice bright shade of green which I used as my indicator. Quickly remove from the water and drain.</p><p> Saute onion and garlic in a large skillet until the onions are opaque, about 3 - 5 minutes. allow to cool until it is able to be handled. Then add meat, salt and pepper to taste, and rice and mix until combined being careful not to overwork the meat blend so it doesn't get too dense and will stay tender during cooking.</p><p> Preheat the oven to 350°F.</p><p> Next, add a bit of sauce, just enough to cover the bottom of a 9"" x 13"" baking pan as you will need the rest to cover the rolls when you are finished.</p><p> Now take 1 leaf, bottom (vein) side up, and place about 1/4 cup of meat into the bottom 3/4 of the leaf and roll it up tucking in the sides to secure the meat similar to rolling a burrito.  If the leaves are too small to tuck in the edges, as was the case with mine, no bother, I left them open and it turned out equally as fine with half the work.</p><p> Repeat until all the meat and leaves have been used. If you have extras of either, I tuck the meat in between the rows and/or layer the extra leaves on top of the other cabbage rolls and then top with the tomato sauce and petite diced tomatoes.</p><p> Cover the dish with aluminum foil and bake for about 90 minutes or until a thermometer stuck into the center of the largest roll reaches 160°F.</p>",8,90,https://img.spoonacular.com/recipes/157961-556x370.jpg,2026-03-14 22:24:13.409369+00,2026-03-14 22:24:13.504+00
157963,Meatball Vegetable Soup,"<p>In a small sauce pan spray with non-stick cooking spray, add onions and cook until softened.  Add juice, vegetables, onions, kale and stock to slow cooker for 4-6 hours, add meatballs and cooked pasta, salt and pepper, cook additional 15-20 minutes.</p><p>mix all ingredients, roll into small balls and bake for 20-30 minutes or until golden</p>",6,30,https://img.spoonacular.com/recipes/157963-556x370.jpg,2026-03-14 23:07:01.656811+00,2026-03-14 23:07:01.799+00
264382,Beginner's Quinoa Cakes,"<p>I made these the very first time I made quinoa. They reminded us of potato pancakes.</p><p>1. Cook the quinoa according to package instructions.</p><p>2. Mix the cooked quinoa with the eggs, Parmesan cheese, herbs, spices, salt, and pepper. Form patties.</p><p>3. Heat olive oil in a large skillet until hot.</p><p>4. Carefully place the patties in the hot oil. Do not attempt to flip them until they seem pretty browned on the bottom or they might fall apart.</p><p>5. Cook until both sides are nicely browned.</p><p>6. Serve with tomato sauce, fresh herbs, or whatever you like. This recipe serves 2 as a main dish or about 4 as a side dish (make the patties a bit smaller so you get 8 instead of 6).</p>",2,60,https://img.spoonacular.com/recipes/264382-556x370.jpg,2026-03-14 23:18:30.964175+00,2026-03-14 23:18:31.104+00
470064,Beefy Coconutty Curry,"<p>1. Mix the ground beef with 1 inch of chopped ginger and 1 clove of chopped garlic. Season with half of the curry powder, garam masala, and chili powder. Add salt and pepper.</p><p>2. Start preparing the basmati rice according to package instructions.</p><p>3. Steam the frozen broccoli and peas.</p><p>4. Heat a tablespoon of coconut oil in a skillet. Form small patties from the ground beef and add to the medium-hot skillet.</p><p>5. Once the patties are cooked through, transfer to a plate and keep warm.</p><p>6. If you buy coconut milk without any stabilizers/emulsifiers your coconut milk will separate so that the coconut cream can be scooped out leaving the water behind. This is important so you can create a thick sauce in the pan by only adding the coconut cream and a little of the water bit by bit until the desired consistency is reached. Add soy sauce and the rest of the ginger, garlic, and spices.</p><p>7. Return the patties to the pan and coat with sauce.</p><p>8. Serve with fresh cilantro and the Basmati rice with the vegetables mixed in.</p>",2,30,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/470064.jpg,2026-03-14 22:24:51.881723+00,2026-03-14 22:24:51.984+00
511697,Morning Banana Split,"Cut banana lengthwise in half.Top with yogurt, berries and granola.",1,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/511697.jpg,2026-03-14 23:18:25.874928+00,2026-03-14 23:18:26.005+00
511728,Pasta Margherita,"Whisk oil, garlic, basil, salt together in large bowl. Add tomatoes and mozzarella then gently toss to combine; set aside.Cook pasta according to package directions for al dente. Drain well.Add pasta to tomato mixture and gently toss to combine.Serve immediately.",4,45,https://xeucxcfsrxiytajlaskq.supabase.co/storage/v1/object/public/recipe-images/511728.jpg,2026-03-14 23:22:18.57186+00,2026-03-14 23:22:18.717+00
